Skupina_kod,Skupina,Činnost,Rizikova_trieda
,,hutnícke a kovové výrobky  - obchod,2
,,"Zámočníctvo, nástrojárstvo, obrábanie kovov - výroba , obchod",3
,,"Želieziarský, inštalatérsky a kúrenársky tovar - obchod",2
,,"Kováčstvo, klampiarstvo, umelecko-remeselné spracovanie kovov",3
,,Zváranie kovov,4
,,"Galvanizácia, smaltovanie, povrchové úpravy kovov",4
,,Zlatníctvo a klenotníctvo,3
,,"Zbrane a strelivo - výroba, obchod",*
,,"Kovové výrobky - výroba, oprava",4
02,"Motorové vozidlá, ostatné dopravné prostriedky, pracovné stroje",Motorové vozidlá - obchod s novými vozidlami,2
,,Motorové vozidlá - obchod s ojazdenými vozidlami (autobazár),3
,,"Motorové vozidlá, karosérie, príslušenstvo (okrem pneumatík) - výroba",4
,,Príslušenstvo motorových vozidiel - obchod,2
,,"Autoservis, pneuservis, opravovne motorových vozidiel, autoumyvárky",4
,,"Bicykle, invalidné vozíky, iné nemotorové dopravné prostriedky - výroba",4
,,"Bicykle, invalidné vozíky, iné nemotorové dopravné prostriedky - obchod, servis",2
,,"Lode - výroba, obchod",*
,,"Železničné vozidlá, vleky, lanovky - výroba, montáž",*
,,"Lietadlá a letecké zariadenia - výroba, obchod",*
,,"Stroje a zariadenia (priemyselné, pracovné, poľnohospodárske)  - výroba, montáž, opravy",4
,,"Stroje a zariadenia (priemyselné, pracovné, poľnohospodárske)  - obchod",3
,,"Výťahy a zdvíhacie zariadenia - výroba, montáž, opravy, revízie",4
,,Požičovňa a leasing motorových vozidiel a iných dopravných prostriedkov,4
03,"Zdravotnícke výrobky a prístroje, výrobky jemnej mechaniky",Očná optika,3
,,"Ortopedické pomôcky - výroba, opravy",4
,,"Ortopedické pomôcky - obchod, požičovňa",2
,,"Meracie, skúšobné, navigačné, optické a fotografické prístroje - obchod",2
,,"Meracie, skúšobné, navigačné, optické a fotografické prístroje - výroba",4
,,"Hodinárstvo - výroba, opravy, obchod",1
,,Zdravotnícke a hygienické potreby - výroba,*
,,Zdravotnícke a hygienické potreby - obchod,2
,,"Zdravotnícke pomôcky, implantáty, elektroliečebné a elektroterapeutické prístroje",*
04,Elektrické a plynové stroje a prístroje,Mobilné telefóny a výpočtová technika - výroba,4
,,"Mobilné telefóny a výpočtová technika - obchod, servis",2
,,Domáce a kancelárske spotrebiče (okrem mob.telefónov a výpočtovej techniky) - výroba,4
,,"Domáce a kancelárske spotrebiče (okrem mob.telefónov a výpočtovej techniky) - obchod, opravy",2
,,"Elektrické prístroje, súčiastky a zariadenia - výroba, obchod, montáž, opravy, revízie",3
,,Požičovňa elektrických spotrebičov a spotrebnej elektroniky,3
05,"Sklo, kameň a zeminy, keramika, ťažba","Banícka činnosť, spracovanie kameňa, ťažba uhlia a iných nerastov",*
,,Umelecko-remeselné spracovanie kameňa,3
,,"Sklenárske práce, rámovanie, paspartovanie",3
,,"Sklenený, porcelánový a keramický tovar (vrátane sanitárneho) - výroba",4
,,"Sklenený, porcelánový a keramický tovar (vrátane sanitárneho) - obchod",2
06,"Chémia, farmaceutika, kozmetika",Farby a laky - výroba,5
,,Farby a laky - obchod,3
,,"Drogéria, parfuméria, kozmetické výrobky - výroba",4
,,"Drogéria, parfuméria, kozmetické výrobky - obchod",2
,,Lekárne,3
,,Chemické látky a tovar - bez výbušnín a pyrotechnického tovaru - výroba,5
,,Chemické látky a tovar - bez výbušnín a pyrotechnického tovaru - obchod,3
,,Chemické látky a tovar - vrátane výbušnín a pyrotechnického tovaru,*
